,Fecha,Día,Temperatura Media
4468,Aug2017,05,15.3
4469,Aug2017,06,10.6
4470,Aug2017,07,12.5
4471,Aug2017,08,9.0
4472,Aug2017,09,8.3
4473,Aug2017,10,4.0
4474,Aug2017,11,1.7
4475,Aug2017,12,6.6
4476,Aug2017,13,10.4
4477,Aug2017,14,12.1
4478,Aug2017,15,12.9
4479,Aug2017,16,12.3
4480,Aug2017,17,13.8
4481,Aug2017,18,13.4
4482,Aug2017,19,8.6
4483,Aug2017,20,6.7
4484,Aug2017,21,9.8
4485,Aug2017,22,12.5
4486,Aug2017,23,14.7
4487,Aug2017,24,13.7
4488,Aug2017,25,15.0
4489,Aug2017,26,15.6
4490,Aug2017,27,15.1
4491,Aug2017,28,14.5
4492,Aug2017,29,15.8
4493,Aug2017,30,15.1
4494,Aug2017,31,9.3
4495,Sep2017,01,5.1
4496,Sep2017,02,1.5
4497,Sep2017,03,4.0
4498,Sep2017,04,6.9
4499,Sep2017,05,10.9
4500,Sep2017,06,9.1
4501,Sep2017,07,5.9
4502,Sep2017,08,7.5
4503,Sep2017,09,4.2
4504,Sep2017,10,3.1
4505,Sep2017,11,4.1
4506,Sep2017,12,2.0
4507,Sep2017,13,7.8
4508,Sep2017,14,4.2
4509,Sep2017,15,0.6
4510,Sep2017,16,1.3
4511,Sep2017,17,0.3
4512,Sep2017,18,0.1
4513,Sep2017,19,-0.9
4514,Sep2017,20,1.3
4515,Sep2017,21,7.0
4516,Sep2017,22,8.5
4517,Sep2017,23,7.8
4518,Sep2017,24,6.0
4519,Sep2017,25,6.1
4520,Sep2017,26,5.6
4521,Sep2017,27,7.1
4522,Sep2017,28,8.3
4523,Sep2017,29,10.0
4524,Sep2017,30,7.5
4525,Sep2017,31,7.5
4526,Oct2017,01,5.6
4527,Oct2017,02,7.6
4528,Oct2017,03,6.6
4529,Oct2017,04,8.8
4530,Oct2017,05,10.0
4531,Oct2017,06,0.9
4532,Oct2017,07,3.3
4533,Oct2017,08,2.8
4534,Oct2017,09,2.5
4535,Oct2017,10,4.1
4536,Oct2017,11,7.7
4537,Oct2017,12,8.2
4538,Oct2017,13,9.4
4539,Oct2017,14,10.7
4540,Oct2017,15,11.5
4541,Oct2017,16,10.7
4542,Oct2017,17,10.0
4543,Oct2017,18,7.9
4544,Oct2017,19,8.1
4545,Oct2017,20,7.0
4546,Oct2017,21,7.0
4547,Oct2017,22,-2.3
4548,Oct2017,23,-2.6
4549,Oct2017,24,4.7
4550,Oct2017,25,9.9
4551,Oct2017,26,10.3
4552,Oct2017,27,3.8
4553,Oct2017,28,3.2
4554,Oct2017,29,2.5
4555,Oct2017,30,-1.3
4556,Oct2017,31,3.1
4557,Nov2017,01,4.8
4558,Nov2017,02,3.9
4559,Nov2017,03,5.0
4560,Nov2017,04,3.8
4561,Nov2017,05,-1.8
4562,Nov2017,06,-5.7
4563,Nov2017,07,-3.5
4564,Nov2017,08,-4.9
4565,Nov2017,09,-4.1
4566,Nov2017,10,-1.9
4567,Nov2017,11,-0.6
4568,Nov2017,12,-1.7
4569,Nov2017,13,-9.5
4570,Nov2017,14,-5.6
4571,Nov2017,15,1.4
4572,Nov2017,16,0
4573,Nov2017,17,0.2
4574,Nov2017,18,-1.7
4575,Nov2017,19,-3.2
4576,Nov2017,20,0.3
4577,Nov2017,21,2.3
4578,Nov2017,22,3.9
4579,Nov2017,23,2.3
4580,Nov2017,24,2.4
4581,Nov2017,25,-3.1
4582,Nov2017,26,-10.9
4583,Nov2017,27,-6.9
4584,Nov2017,28,-3.4
4585,Nov2017,29,-8.0
4586,Nov2017,30,-11.5
4587,Nov2017,31,-11.5
4588,Dec2017,01,-11.9
4589,Dec2017,02,-9.1
4590,Dec2017,03,-8.7
4591,Dec2017,04,-5.8
4592,Dec2017,05,-2.4
4593,Dec2017,06,-1.0
4594,Dec2017,07,-1.0
4595,Dec2017,08,-6.1
4596,Dec2017,09,-13.8
4597,Dec2017,10,-6.6
4598,Dec2017,11,0
4599,Dec2017,12,-7.6
4600,Dec2017,13,-7.5
4601,Dec2017,14,0
4602,Dec2017,15,0
4603,Dec2017,16,-9.9
4604,Dec2017,17,-11.7
4605,Dec2017,18,-7.5
4606,Dec2017,19,0
4607,Dec2017,20,-3.0
4608,Dec2017,21,0.2
4609,Dec2017,22,0
4610,Dec2017,23,1.7
4611,Dec2017,24,4.4
4612,Dec2017,25,2.8
4613,Dec2017,26,-4.2
4614,Dec2017,27,-5.8
4615,Dec2017,28,-12.3
4616,Dec2017,29,-9.2
4617,Dec2017,30,-1.2
4618,Dec2017,31,2.1
4619,Jan2018,01,-4.9
4620,Jan2018,02,-6.4
4621,Jan2018,03,-2.3
4622,Jan2018,04,-0.5
4623,Jan2018,05,0.7
4624,Jan2018,06,-0.8
4625,Jan2018,07,0.8
4626,Jan2018,08,-0.8
4627,Jan2018,09,-3.5
4628,Jan2018,10,-5.4
4629,Jan2018,11,-5.6
4630,Jan2018,12,0
4631,Jan2018,13,-4.7
4632,Jan2018,14,-6.0
4633,Jan2018,15,0
4634,Jan2018,16,0
4635,Jan2018,17,0
4636,Jan2018,18,-3.9
4637,Jan2018,19,-6.3
4638,Jan2018,20,-6.3
4639,Jan2018,21,-3.8
4640,Jan2018,22,0
4641,Jan2018,23,-3.2
4642,Jan2018,24,1.2
4643,Jan2018,25,-0.4
4644,Jan2018,26,-1.9
4645,Jan2018,27,-1.5
4646,Jan2018,28,-0.0
4647,Jan2018,29,1.6
4648,Jan2018,30,0.0
4649,Jan2018,31,-0.4
4650,Feb2018,01,-7.6
4651,Feb2018,02,-11.0
4652,Feb2018,03,-12.3
4653,Feb2018,04,-10.3
4654,Feb2018,05,-8.0
4655,Feb2018,06,-5.7
4656,Feb2018,07,-7.8
4657,Feb2018,08,-9.4
4658,Feb2018,09,-7.7
4659,Feb2018,10,-10.5
4660,Feb2018,11,0
4661,Feb2018,12,-12.0
4662,Feb2018,13,0
4663,Feb2018,14,0
4664,Feb2018,15,-0.9
4665,Feb2018,16,0.9
4666,Feb2018,17,-1.5
4667,Feb2018,18,-6.6
4668,Feb2018,19,0
4669,Feb2018,20,-8.9
4670,Feb2018,21,-10.3
4671,Feb2018,22,0
4672,Feb2018,23,-6.4
4673,Feb2018,24,-0.7
4674,Feb2018,25,0
4675,Feb2018,26,-17.0
4676,Feb2018,27,-20.4
4677,Feb2018,28,-15.5
4678,Feb2018,29,-15.5
4679,Feb2018,30,-15.5
4680,Feb2018,31,-15.5
4681,Mar2018,01,-7.5
4682,Mar2018,02,-3.5
4683,Mar2018,03,-4.3
4684,Mar2018,04,-2.8
4685,Mar2018,05,-2.9
4686,Mar2018,06,-3.6
4687,Mar2018,07,-6.2
4688,Mar2018,08,-5.1
4689,Mar2018,09,0.6
4690,Mar2018,10,-0.6
4691,Mar2018,11,0.2
4692,Mar2018,12,-2.7
4693,Mar2018,13,-4.9
4694,Mar2018,14,-3.3
4695,Mar2018,15,-1.9
4696,Mar2018,16,-2.5
4697,Mar2018,17,-4.6
4698,Mar2018,18,-6.2
4699,Mar2018,19,-7.2
4700,Mar2018,20,-9.1
